Composer,Work,Year,Opus/number,Movement,Bar / range,Time signature,Division (""?"" When unclear),Tempo,Basis of mixed metre / other note
"Escobar, Pedro de",Cancionero Musical de Palacio,1516-20,Barbieri No.48,"Las mis penas, madre",,Proportio quintupla [5/2],3+2,,
"Encina, Juan del",Cancionero Musical de Palacio,1516-20,Bar. No. 79,Amor con fortuna,,Proportio quintupla [5/2],3+2,,
Anon.,Cancionero Musical de Palacio,1516-20,Bar. No. 102,Pensad ora’n al,,Proportio quintupla [5/2],3+2,,
"Encina, Juan del",Cancionero Musical de Palacio,1516-20,Bar. No. 115,"Dos ánades, madre",,Proportio quintupla [5/2],3+2,,
"Fernández, Diego",Cancionero Musical de Palacio,1516-20,Bar. No. 132,De ser mal casada,,Proportio quintupla [5/2],3+2,,
"Encina, Juan del",Cancionero Musical de Palacio,1516-20,Bar. No. 215,"Con amores, mi madre",,Proportio quintupla [5/2],3+2,,
"Encina, Juan del",Cancionero Musical de Palacio,1516-20,Bar. No. 403,Tan buen ganadico,,Proportio quintupla [5/2],3+2,,
"Le Jeune, Claude",Perdre le sens,1529-1600,,,Chant,“C” [Actually 11/4],2+2+3+2+2,,"Vers mesuré (stressed syllables long, unstressed short)"
"Le Jeune, Claude",Perdre le sens,1529-1600,,,Rechant,“C” [Actually 11/4],3+3+2+3,,"Vers mesuré (stressed syllables long, unstressed short)"
"Le Jeune, Claude",Revecy venir du Printans,1529-1600,,,,“C” [Actually 12/4],2+3+3+2+2,,"Vers mesuré (stressed syllables long, unstressed short)"
"Bull, John",In Nomine,1600 approx.,K28,,Not final section,"""Cut common time"" [Actually 11/4: 4+4+3/4]",2+2+2+2+3,[Slow],
"Händel, Georg Friedrich",Orlando (opera),1733,HWV 31,"Act 2, Scene xi",‘Mad scene’,"""5/8""",,[Fast],Four bars of accompanied recitative only. 
Haydn (attrib.),Piano Sonata No.12,1767?,Hob.XVI:12,Movt 3 (Finale),,"""2/4"" (7-time hypermetre)",,,
"Reeve, William",The Gypsies (a Glee for 3 voices),1796?,,"""Come, stain your cheeks with nut or berry""",,"""5/4""",,,
"Reicha, Antoine",Thirty-six Fugues,1803,,No.20,,"""5/8""",3+2,Allegretto,Modelled on Alsatian Kochersberger Tanz (composer's claim)
"Reicha, Antoine",Thirty-six Fugues,1803,,No.24,,"""[Cut common] et 3/4""",2+2+3,Allegro Moderato,
"Reicha, Antoine",Thirty-six Fugues,1803,,No.28,,"""6/8 et 2/4""",3+3+2,Allegro,
"Shield, William","3 String Trios, No.1 in F major",1811,,3: Scherzo,,"""5/4""",3+2,Giuoco … non troppo presto,
"Boieldieu, François-Adrien","""La dame blanche"" (opera)",1825,,"Act 2, No.8, Cavatine “Viens, gentille dame""",Allegretto section,"""5/4""",[3+2],Allegretto,14 bars
"Chopin, Fryderyk",Piano sonata No.1,1828,op.4,3,,"""5/4""",?,"Larghetto, [C]=72",
"Glinka, Mikhail",Life for the Tsar (opera),1834–36,,"Act 3, No.15 ""Nuptial chorus and scene""",,"""5/4""",[2+3],"Con moto, [C]=116","Based on Russian wedding songs, common time at very end."
"Loewe, Carl","Prinz Eugen, der edle Ritter (Ballad for voice and piano)",1844,op.92,,,"""5/4""",?,[C]=70,
"Alkan, Charles-Valentin",Deuxième recueil d’impromptus,1849,"op.32, no.2","No.1, Air à cinq temps",Including trio,"""5/4""",3+2?,Andantino,
"Alkan, Charles-Valentin",Deuxième recueil d’impromptus,1849,"op.32, no.2","No.2, Air à cinq temps",,"""5/8""",3+2?,Allegretto mesto,
"Alkan, Charles-Valentin",Deuxième recueil d’impromptus,1849,"op.32, no.2","No.3, Air à cinq temps",,"""5/16""",3+2?,Vivace,
"Alkan, Charles-Valentin",Deuxième recueil d’impromptus,1849,"op.32, no.2","No.4, Air à sept temps",,"""7/4""",2+2+3?,Andante flebile,
"Lizst, Franz",Harmonies poetiques et religieuses III,1849/53,S.173/4,4: Pensée des morts,"b.1-19, 66-76","""5/4""",?,,
"Hiller, Ferdinand",Rhythmische Studien for piano,1851,op.53,No.5,,"""5/4""",2+3?,Andante espressivo,"All other movement in changing, mixed metres."
"Hiller, Ferdinand",Rhythmische Studien for piano,1851,op.53,No.7,"b.43-106, 151-193","""6/8, 9/8""",2+3,Presto,
"Saint-Saëns, Charles-Camille",Trois morceaux,1852,op.1,"No.3, Prière ",,"""11/4""",?,Commodo,
"Bischoff, Kaspar Jacob",String Trio ,1853?,op.5,Scherzo,,"""5/8""","3+2 initial, also 2+3",Allegretto,
"Iparraguirre, José María",Gernikako Arbola,1853,,,,"""5/8""",3+2,,Used in Ramuntcho (below)
"Brahms, Johannes",Variations on a Hungarian Song,1853–56?,"op.21, No.2","Theme, Variations 1-8",(<),"""3/4, C[4/4]"" (=7/4)",3+2+2,Allegro (crotchet),
"Berlioz, Hector",L'enfance du Christ,1854,op.25,"Conjuration of soothsayers, Scene 4",,"""7/4 (3/4+4/4)""",3+2+2,"Allegretto, [C]=152",
