1	1.0	1.0	0.5	['B1', 'F#2']	['P5']	[0, 5]	[6, 11]
4	1.0	1.0	0.75	['B2', 'A3', 'C#4', 'F#4', 'G#4', 'C#5']	['m7', 'M9', 'P12', 'M13', 'M16', 'M3', 'M6', 'M7', 'M10', 'P4', 'P5', 'P8', 'M2']	[0, 2, 3, 5, 7]	[6, 8, 9, 11, 1]
4	2.5	0.25	0.25	['B2', 'A3', 'C#4', 'F#4', 'C#5']	['m7', 'M9', 'P12', 'M16', 'M3', 'M6', 'M10', 'P4', 'P8', 'P5']	[0, 2, 4, 7]	[6, 9, 11, 1]
4	3.0	0.5	0.25	['E4']	[]	[0]	[4]
4	3.5	0.25	0.25	['D#4']	[]	[0]	[3]
5	1.0	1.0	0.5	['B1', 'F#2', 'D#4']	['P5', 'M17', 'M13']	[0, 3, 7]	[11, 3, 6]
5	2.0	0.5	0.5	['B1', 'F#2', 'C#4', 'D#4', 'A4', 'C#5', 'G#5', 'C#6', 'G#6']	['P5', 'M16', 'M17', 'm21', 'M23', 'M27', 'M30', 'M34', 'P12', 'M13', 'm17', 'P19', 'P26', 'M2', 'm6', 'P8', 'P15', 'd5', 'm7', 'P11', 'm14', 'P18', 'M3', 'M7', 'M10', 'M14', 'P4']	[0, 2, 3, 5, 7, 9]	[6, 8, 9, 11, 1, 3]
5	3.0	0.5	0.5	['B1', 'F#2', 'C#4', 'D#4', 'A4', 'C#5', 'F#5', 'F#6']	['P5', 'M16', 'M17', 'm21', 'M23', 'P26', 'P33', 'P12', 'M13', 'm17', 'P19', 'P22', 'P29', 'M2', 'm6', 'P8', 'P11', 'P18', 'd5', 'm7', 'm10', 'M3', 'M6', 'P4']	[0, 2, 4, 6, 9]	[9, 11, 1, 3, 6]
6	1.0	1.0	0.5	['C#4', 'F#4', 'A4', 'D#5', 'A5', 'D#6']	['P4', 'm6', 'M9', 'm13', 'M16', 'm3', 'M6', 'm10', 'M13', 'A4', 'P8', 'A11', 'd5']	[0, 2, 5, 8]	[1, 3, 6, 9]
6	2.0	0.5	0.25	['B3', 'D#4', 'A4', 'C#5', 'F#5', 'C#6']	['M3', 'm7', 'M9', 'P12', 'M16', 'd5', 'm10', 'm14', 'M6', 'M10', 'P4', 'P8', 'P5']	[0, 2, 4, 6, 9]	[9, 11, 1, 3, 6]
6	2.5	0.25	0.25	['B3', 'C#4', 'D#4', 'A4', 'A5']	['M2', 'M3', 'm7', 'm14', 'm6', 'm13', 'd5', 'd12', 'P8']	[0, 2, 4, 6]	[9, 11, 1, 3]
6	3.0	0.5	0.25	['F#3', 'B3', 'D#4', 'F#4', 'G#4', 'D#5', 'G#5']	['P4', 'M6', 'P8', 'M9', 'M13', 'M16', 'M3', 'P5', 'M10', 'm3', 'P11', 'M2']	[0, 3, 5, 8]	[3, 6, 8, 11]
6	3.5	0.25	0.25	['F#3', 'B3', 'D#4', 'F#4', 'A4', 'F#5']	['P4', 'M6', 'P8', 'm10', 'P15', 'M3', 'P5', 'm7', 'P12', 'm3', 'd5']	[0, 2, 5, 8]	[3, 6, 9, 11]
7	1.0	1.0	0.5	['B2', 'A3', 'C#4', 'F#4', 'C#5']	['m7', 'M9', 'P12', 'M16', 'M3', 'M6', 'M10', 'P4', 'P8', 'P5']	[0, 2, 4, 7]	[6, 9, 11, 1]
7	2.0	0.5	0.25	['A2', 'B2', 'A3', 'C#4', 'F#4', 'C#5']	['M2', 'P8', 'M10', 'M13', 'M17', 'm7', 'M9', 'P12', 'M16', 'M3', 'M6', 'P4', 'P5']	[0, 2, 4, 7]	[6, 9, 11, 1]
7	2.5	0.25	0.25	['A2', 'B2', 'A3', 'D#4', 'C#5', 'D#5']	['M2', 'P8', 'A11', 'M17', 'A18', 'm7', 'M10', 'M16', 'A4']	[0, 2, 4, 6]	[9, 11, 1, 3]
7	3.0	0.5	0.25	['G#2', 'F#3', 'B#3', 'F#4', 'B#4', 'F#5']	['m7', 'M10', 'm14', 'M17', 'm21', 'A4', 'P8', 'A11', 'P15', 'd5', 'd12']	[0, 2, 6]	[6, 8, 0]
7	3.5	0.25	0.25	['G#2', 'F#3', 'B#3', 'G#4', 'G#5']	['m7', 'M10', 'P15', 'P22', 'A4', 'M9', 'M16', 'm6', 'm13', 'P8']	[0, 2, 6]	[6, 8, 0]
8	1.0	1.0	0.5	['B2', 'A3', 'C#4', 'F#4', 'C#5']	['m7', 'M9', 'P12', 'M16', 'M3', 'M6', 'M10', 'P4', 'P8', 'P5']	[0, 2, 4, 7]	[6, 9, 11, 1]
8	2.0	0.5	0.25	['A2', 'B2', 'A3', 'C#4', 'F#4', 'C#5']	['M2', 'P8', 'M10', 'M13', 'M17', 'm7', 'M9', 'P12', 'M16', 'M3', 'M6', 'P4', 'P5']	[0, 2, 4, 7]	[6, 9, 11, 1]
8	2.5	0.25	0.25	['A2', 'B2', 'A3', 'D#4', 'C#5', 'D#5']	['M2', 'P8', 'A11', 'M17', 'A18', 'm7', 'M10', 'M16', 'A4']	[0, 2, 4, 6]	[9, 11, 1, 3]
8	3.0	0.5	0.25	['G#2', 'F#3', 'B#3', 'F#4', 'B#4', 'F#5']	['m7', 'M10', 'm14', 'M17', 'm21', 'A4', 'P8', 'A11', 'P15', 'd5', 'd12']	[0, 2, 6]	[6, 8, 0]
8	3.5	0.25	0.25	['G#2', 'F#3', 'B#3', 'G#4', 'B#4', 'G#5']	['m7', 'M10', 'P15', 'M17', 'P22', 'A4', 'M9', 'A11', 'M16', 'm6', 'P8', 'm13', 'M3']	[0, 2, 6]	[6, 8, 0]
9	1.0	1.0	0.5	['E1', 'B4']	['P26']	[0, 5]	[11, 4]
9	2.0	0.5	0.5	['E1', 'C#4', 'E4', 'A4', 'B4', 'E5', 'B5']	['M20', 'P22', 'P25', 'P26', 'P29', 'P33', 'm3', 'm6', 'm7', 'm10', 'm14', 'P4', 'P5', 'P8', 'P12', 'M2', 'M9']	[0, 2, 4, 7]	[9, 11, 1, 4]
9	3.0	0.5	0.5	['E1', 'B3', 'E4', 'G#4', 'B4', 'E5', 'B5']	['P19', 'P22', 'M24', 'P26', 'P29', 'P33', 'P4', 'M6', 'P8', 'P11', 'P15', 'M3', 'P5', 'P12', 'm3', 'm6', 'm10']	[0, 3, 7]	[4, 8, 11]
10	1.0	1.0	0.5	['A3', 'C#4', 'F#4', 'B4', 'E5', 'B5']	['M3', 'M6', 'M9', 'P12', 'M16', 'P4', 'm7', 'm10', 'm14', 'P11', 'P8', 'P5']	[0, 2, 4, 7, 9]	[9, 11, 1, 4, 6]
10	2.0	0.5	0.25	['G#3', 'B3', 'E4', 'B4', 'E5', 'B5']	['m3', 'm6', 'm10', 'm13', 'm17', 'P4', 'P8', 'P11', 'P15', 'P5', 'P12']	[0, 3, 7]	[4, 8, 11]
10	2.5	0.25	0.25	['B3', 'B4', 'E5', 'B5']	['P8', 'P11', 'P15', 'P4', 'P5']	[0, 5]	[11, 4]
10	3.0	0.5	0.25	['G#3']	[]	[0]	[8]
10	3.5	0.25	0.25	['E3']	[]	[0]	[4]
11	1.0	1.0	0.25	['E2', 'B2', 'G#3', 'B3', 'D#4']	['P5', 'M10', 'P12', 'M14', 'M6', 'P8', 'm3', 'M3']	[0, 1, 5, 8]	[3, 4, 8, 11]
11	1.5	0.25	0.25	['E2', 'B2', 'G#3', 'B3', 'D#4']	['P5', 'M10', 'P12', 'M14', 'M6', 'P8', 'm3', 'M3']	[0, 1, 5, 8]	[3, 4, 8, 11]
11	2.0	0.5	0.25	['E2', 'B2', 'G#3', 'B3', 'D#4', 'G#4']	['P5', 'M10', 'P12', 'M14', 'M17', 'M6', 'P8', 'M13', 'm3', 'M3', 'P4']	[0, 1, 5, 8]	[3, 4, 8, 11]
11	2.5	0.25	0.25	['E2', 'B2', 'G#3', 'B3', 'D#4', 'G#4']	['P5', 'M10', 'P12', 'M14', 'M17', 'M6', 'P8', 'M13', 'm3', 'M3', 'P4']	[0, 1, 5, 8]	[3, 4, 8, 11]
11	3.0	0.5	0.25	['E2', 'B2', 'G#3', 'B3', 'D#4', 'G#4']	['P5', 'M10', 'P12', 'M14', 'M17', 'M6', 'P8', 'M13', 'm3', 'M3', 'P4']	[0, 1, 5, 8]	[3, 4, 8, 11]
11	3.5	0.25	0.25	['E2', 'B2', 'G#3', 'B3', 'D#4', 'G#4']	['P5', 'M10', 'P12', 'M14', 'M17', 'M6', 'P8', 'M13', 'm3', 'M3', 'P4']	[0, 1, 5, 8]	[3, 4, 8, 11]
12	1.0	1.0	0.25	['E2', 'C3', 'G3', 'B-3', 'D4', 'A#4']	['m6', 'm10', 'd12', 'm14', 'A18', 'P5', 'm7', 'M9', 'A13', 'm3', 'A9', 'M3', 'A7', 'A5']	[0, 2, 4, 6, 9]	[10, 0, 2, 4, 7]
12	1.5	0.25	0.25	['E2', 'C3', 'G3', 'B-3', 'D4', 'A#4']	['m6', 'm10', 'd12', 'm14', 'A18', 'P5', 'm7', 'M9', 'A13', 'm3', 'A9', 'M3', 'A7', 'A5']	[0, 2, 4, 6, 9]	[10, 0, 2, 4, 7]
12	2.0	0.5	0.25	['E2', 'C3', 'G3', 'B-3', 'D4', 'A#4']	['m6', 'm10', 'd12', 'm14', 'A18', 'P5', 'm7', 'M9', 'A13', 'm3', 'A9', 'M3', 'A7', 'A5']	[0, 2, 4, 6, 9]	[10, 0, 2, 4, 7]
12	2.5	0.25	0.25	['E2', 'C3', 'G3', 'B-3', 'D4', 'A#4']	['m6', 'm10', 'd12', 'm14', 'A18', 'P5', 'm7', 'M9', 'A13', 'm3', 'A9', 'M3', 'A7', 'A5']	[0, 2, 4, 6, 9]	[10, 0, 2, 4, 7]
12	3.0	0.5	0.5	['E2', 'C3', 'G3', 'B-3', 'D4', 'A#4']	['m6', 'm10', 'd12', 'm14', 'A18', 'P5', 'm7', 'M9', 'A13', 'm3', 'A9', 'M3', 'A7', 'A5']	[0, 2, 4, 6, 9]	[10, 0, 2, 4, 7]
13	1.0	1.0	0.25	['E2', 'B2', 'G#3', 'B3', 'D#4', 'G#4']	['P5', 'M10', 'P12', 'M14', 'M17', 'M6', 'P8', 'M13', 'm3', 'M3', 'P4']	[0, 1, 5, 8]	[3, 4, 8, 11]
13	1.5	0.25	0.25	['E2', 'B2', 'G#3', 'B3', 'D#4', 'G#4']	['P5', 'M10', 'P12', 'M14', 'M17', 'M6', 'P8', 'M13', 'm3', 'M3', 'P4']	[0, 1, 5, 8]	[3, 4, 8, 11]
13	2.0	0.5	0.25	['E2', 'B2', 'G#3', 'B3', 'D#4', 'G#4']	['P5', 'M10', 'P12', 'M14', 'M17', 'M6', 'P8', 'M13', 'm3', 'M3', 'P4']	[0, 1, 5, 8]	[3, 4, 8, 11]
13	2.5	0.25	0.25	['E2', 'B2', 'G#3', 'B3', 'D#4', 'G#4']	['P5', 'M10', 'P12', 'M14', 'M17', 'M6', 'P8', 'M13', 'm3', 'M3', 'P4']	[0, 1, 5, 8]	[3, 4, 8, 11]
13	3.0	0.5	0.25	['E2', 'B2', 'G#3', 'B3', 'D#4', 'G#4']	['P5', 'M10', 'P12', 'M14', 'M17', 'M6', 'P8', 'M13', 'm3', 'M3', 'P4']	[0, 1, 5, 8]	[3, 4, 8, 11]
13	3.5	0.25	0.25	['E2', 'B2', 'G#3', 'B3', 'D#4', 'G#4']	['P5', 'M10', 'P12', 'M14', 'M17', 'M6', 'P8', 'M13', 'm3', 'M3', 'P4']	[0, 1, 5, 8]	[3, 4, 8, 11]
14	1.0	1.0	0.25	['E2', 'C3', 'G3', 'B-3', 'D4', 'A#4']	['m6', 'm10', 'd12', 'm14', 'A18', 'P5', 'm7', 'M9', 'A13', 'm3', 'A9', 'M3', 'A7', 'A5']	[0, 2, 4, 6, 9]	[10, 0, 2, 4, 7]
14	1.5	0.25	0.25	['E2', 'C3', 'G3', 'B-3', 'D4', 'A#4']	['m6', 'm10', 'd12', 'm14', 'A18', 'P5', 'm7', 'M9', 'A13', 'm3', 'A9', 'M3', 'A7', 'A5']	[0, 2, 4, 6, 9]	[10, 0, 2, 4, 7]
14	2.0	0.5	0.25	['E2', 'C3', 'G3', 'B-3', 'D4', 'A#4']	['m6', 'm10', 'd12', 'm14', 'A18', 'P5', 'm7', 'M9', 'A13', 'm3', 'A9', 'M3', 'A7', 'A5']	[0, 2, 4, 6, 9]	[10, 0, 2, 4, 7]
14	2.5	0.25	0.25	['E2', 'C3', 'G3', 'B-3', 'D4', 'A#4']	['m6', 'm10', 'd12', 'm14', 'A18', 'P5', 'm7', 'M9', 'A13', 'm3', 'A9', 'M3', 'A7', 'A5']	[0, 2, 4, 6, 9]	[10, 0, 2, 4, 7]
14	3.0	0.5	0.5	['E2', 'C3', 'G3', 'B-3', 'D4', 'A#4']	['m6', 'm10', 'd12', 'm14', 'A18', 'P5', 'm7', 'M9', 'A13', 'm3', 'A9', 'M3', 'A7', 'A5']	[0, 2, 4, 6, 9]	[10, 0, 2, 4, 7]
15	1.0	1.0	0.25	['E-2', 'B-2', 'G3', 'D-4', 'F4']	['P5', 'M10', 'm14', 'M16', 'M6', 'm10', 'P12', 'd5', 'm7', 'M3']	[0, 2, 4, 6, 9]	[1, 3, 5, 7, 10]
15	1.5	0.25	0.25	['E-2', 'B-2', 'G3', 'D-4', 'F4', 'B-4']	['P5', 'M10', 'm14', 'M16', 'P19', 'M6', 'm10', 'P12', 'P15', 'd5', 'm7', 'M3', 'P4']	[0, 2, 4, 6, 9]	[1, 3, 5, 7, 10]
15	2.0	0.5	0.25	['E-2', 'B-2', 'G3', 'D-4', 'F4']	['P5', 'M10', 'm14', 'M16', 'M6', 'm10', 'P12', 'd5', 'm7', 'M3']	[0, 2, 4, 6, 9]	[1, 3, 5, 7, 10]
15	2.5	0.25	0.25	['E-2', 'B-2', 'G3', 'D-4', 'F4', 'B-4']	['P5', 'M10', 'm14', 'M16', 'P19', 'M6', 'm10', 'P12', 'P15', 'd5', 'm7', 'M3', 'P4']	[0, 2, 4, 6, 9]	[1, 3, 5, 7, 10]
15	3.0	0.5	0.25	['E-2', 'B-2', 'G3', 'D-4', 'F4', 'B-4']	['P5', 'M10', 'm14', 'M16', 'P19', 'M6', 'm10', 'P12', 'P15', 'd5', 'm7', 'M3', 'P4']	[0, 2, 4, 6, 9]	[1, 3, 5, 7, 10]
15	3.5	0.25	0.25	['E-2', 'B-2', 'G3', 'D-4', 'F4', 'B-4']	['P5', 'M10', 'm14', 'M16', 'P19', 'M6', 'm10', 'P12', 'P15', 'd5', 'm7', 'M3', 'P4']	[0, 2, 4, 6, 9]	[1, 3, 5, 7, 10]
16	1.0	1.0	0.25	['C2', 'G2', 'G3', 'C4', 'E4', 'C5']	['P5', 'P12', 'P15', 'M17', 'P22', 'P8', 'P11', 'M13', 'P18', 'P4', 'M6', 'M3', 'm6']	[0, 3, 7]	[0, 4, 7]
16	1.5	0.25	0.25	['C2', 'G2', 'G3', 'C4', 'E4', 'G4']	['P5', 'P12', 'P15', 'M17', 'P19', 'P8', 'P11', 'M13', 'P4', 'M6', 'M3', 'm3']	[0, 3, 7]	[0, 4, 7]
16	2.0	0.5	0.25	['C2', 'G2', 'G3', 'C4', 'E4', 'G4']	['P5', 'P12', 'P15', 'M17', 'P19', 'P8', 'P11', 'M13', 'P4', 'M6', 'M3', 'm3']	[0, 3, 7]	[0, 4, 7]
16	2.5	0.25	0.25	['C2', 'G2', 'G3', 'C4', 'E4', 'G4']	['P5', 'P12', 'P15', 'M17', 'P19', 'P8', 'P11', 'M13', 'P4', 'M6', 'M3', 'm3']	[0, 3, 7]	[0, 4, 7]
16	3.0	0.5	0.5	['C2', 'G2', 'G3', 'C4', 'E4']	['P5', 'P12', 'P15', 'M17', 'P8', 'P11', 'M13', 'P4', 'M6', 'M3']	[0, 3, 7]	[0, 4, 7]
17	1.0	1.0	0.25	['C2', 'F#2', 'D3', 'A3', 'D4']	['A4', 'M9', 'M13', 'M16', 'm6', 'm10', 'm13', 'P5', 'P8', 'P4']	[0, 2, 5, 8]	[6, 9, 0, 2]
17	1.5	0.25	0.25	['C2', 'F#2', 'D3', 'A3', 'D4']	['A4', 'M9', 'M13', 'M16', 'm6', 'm10', 'm13', 'P5', 'P8', 'P4']	[0, 2, 5, 8]	[6, 9, 0, 2]
17	2.0	0.5	0.25	['C2', 'F#2', 'D3', 'A3', 'D4']	['A4', 'M9', 'M13', 'M16', 'm6', 'm10', 'm13', 'P5', 'P8', 'P4']	[0, 2, 5, 8]	[6, 9, 0, 2]
17	2.5	0.25	0.25	['C2', 'F#2', 'D3', 'A3', 'D4']	['A4', 'M9', 'M13', 'M16', 'm6', 'm10', 'm13', 'P5', 'P8', 'P4']	[0, 2, 5, 8]	[6, 9, 0, 2]
17	3.0	0.5	0.25	['C2', 'F#2', 'D3', 'A3', 'D4']	['A4', 'M9', 'M13', 'M16', 'm6', 'm10', 'm13', 'P5', 'P8', 'P4']	[0, 2, 5, 8]	[6, 9, 0, 2]
17	3.5	0.25	0.25	['C2', 'F#2', 'D3', 'A3', 'D4']	['A4', 'M9', 'M13', 'M16', 'm6', 'm10', 'm13', 'P5', 'P8', 'P4']	[0, 2, 5, 8]	[6, 9, 0, 2]
18	1.0	1.0	0.5	['B1', 'F#2', 'D#3', 'A3', 'C#4', 'D#4']	['P5', 'M10', 'm14', 'M16', 'M17', 'M6', 'm10', 'P12', 'M13', 'd5', 'm7', 'P8', 'M3', 'A4', 'M2']	[0, 2, 4, 6, 9]	[9, 11, 1, 3, 6]
18	2.0	0.5	0.5	['B1', 'F#2', 'D#3', 'A3', 'C#4', 'D#4', 'A4', 'C#5', 'G#5', 'C#6', 'G#6']	['P5', 'M10', 'm14', 'M16', 'M17', 'm21', 'M23', 'M27', 'M30', 'M34', 'M6', 'm10', 'P12', 'M13', 'm17', 'P19', 'P26', 'd5', 'm7', 'P8', 'd12', 'P18', 'P25', 'M3', 'A4', 'M14', 'M21', 'M2', 'm6', 'P15', 'P11', 'M7', 'P4']	[0, 2, 3, 5, 7, 9]	[6, 8, 9, 11, 1, 3]
18	3.0	0.5	0.5	['B1', 'F#2', 'D#3', 'A3', 'C#4', 'D#4', 'A4', 'C#5', 'F#5', 'F#6']	['P5', 'M10', 'm14', 'M16', 'M17', 'm21', 'M23', 'P26', 'P33', 'M6', 'm10', 'P12', 'M13', 'm17', 'P19', 'P22', 'P29', 'd5', 'm7', 'P8', 'd12', 'm24', 'M3', 'A4', 'M20', 'M2', 'm6', 'P11', 'P18', 'P4']	[0, 2, 4, 6, 9]	[9, 11, 1, 3, 6]
19	1.0	1.0	0.5	['C#4', 'F#4', 'A4', 'D#5', 'A5', 'D#6']	['P4', 'm6', 'M9', 'm13', 'M16', 'm3', 'M6', 'm10', 'M13', 'A4', 'P8', 'A11', 'd5']	[0, 2, 5, 8]	[1, 3, 6, 9]
19	2.0	0.5	0.25	['B3', 'D#4', 'A4', 'C#5', 'F#5', 'C#6']	['M3', 'm7', 'M9', 'P12', 'M16', 'd5', 'm10', 'm14', 'M6', 'M10', 'P4', 'P8', 'P5']	[0, 2, 4, 6, 9]	[9, 11, 1, 3, 6]
19	2.5	0.25	0.25	['B3', 'D#4', 'A4', 'A5']	['M3', 'm7', 'm14', 'd5', 'd12', 'P8']	[0, 2, 6]	[9, 11, 3]
19	3.0	0.5	0.25	['F#3', 'B3', 'D#4', 'G#4', 'D#5', 'G#5']	['P4', 'M6', 'M9', 'M13', 'M16', 'M3', 'M10', 'P8', 'P11', 'P5']	[0, 3, 5, 8]	[3, 6, 8, 11]
19	3.5	0.25	0.25	['F#3', 'B3', 'D#4', 'F#4', 'F#5']	['P4', 'M6', 'P8', 'P15', 'M3', 'P5', 'P12', 'm3', 'm10']	[0, 3, 7]	[11, 3, 6]
20	1.0	1.0	0.25	['C#4', 'F#4', 'G#4', 'C#5', 'E5']	['P4', 'P5', 'P8', 'm10', 'M2', 'm7', 'm6', 'm3']	[0, 2, 4, 7]	[1, 4, 6, 8]
20	1.5	0.25	0.5	['C#4', 'F#4', 'G#4', 'C#5', 'E5']	['P4', 'P5', 'P8', 'm10', 'M2', 'm7', 'm6', 'm3']	[0, 2, 4, 7]	[1, 4, 6, 8]
20	2.5	0.25	0.25	['C#4', 'F#4', 'G#4', 'C#5', 'E5']	['P4', 'P5', 'P8', 'm10', 'M2', 'm7', 'm6', 'm3']	[0, 2, 4, 7]	[1, 4, 6, 8]
20	3.0	0.5	0.25	['C#4', 'F#4', 'G#4', 'C#5', 'E5']	['P4', 'P5', 'P8', 'm10', 'M2', 'm7', 'm6', 'm3']	[0, 2, 4, 7]	[1, 4, 6, 8]
20	3.5	0.25	0.25	['C#4', 'F#4', 'G#4', 'C#5', 'E5']	['P4', 'P5', 'P8', 'm10', 'M2', 'm7', 'm6', 'm3']	[0, 2, 4, 7]	[1, 4, 6, 8]
21	1.0	1.0	0.25	['C#4', 'G#4', 'C#5']	['P5', 'P8', 'P4']	[0, 5]	[8, 1]
21	1.5	0.25	0.25	['C#4', 'F#4', 'G#4']	['P4', 'P5', 'M2']	[0, 2, 7]	[6, 8, 1]
21	2.0	0.5	0.25	['C#4', 'G#4']	['P5']	[0, 5]	[8, 1]
21	2.5	0.25	0.25	['C#4', 'G#4', 'C#5', 'G#5']	['P5', 'P8', 'P12', 'P4']	[0, 5]	[8, 1]
21	3.0	0.5	0.25	['C#4', 'G#4', 'C#5', 'G#5']	['P5', 'P8', 'P12', 'P4']	[0, 5]	[8, 1]
21	3.5	0.25	0.25	['C#4', 'G#4', 'C#5']	['P5', 'P8', 'P4']	[0, 5]	[8, 1]
22	1.0	1.0	0.25	['C#4', 'G#4', 'B4', 'D#5', 'G#5', 'C#6']	['P5', 'm7', 'M9', 'P12', 'P15', 'm3', 'P8', 'P11', 'M3', 'M6', 'P4']	[0, 2, 4, 7]	[8, 11, 1, 3]
22	1.5	0.25	0.25	['C#4', 'G#4', 'B4', 'D#5', 'G#5', 'C#6']	['P5', 'm7', 'M9', 'P12', 'P15', 'm3', 'P8', 'P11', 'M3', 'M6', 'P4']	[0, 2, 4, 7]	[8, 11, 1, 3]
22	2.0	0.5	0.25	['C#4', 'G#4', 'B4', 'E5', 'G#5', 'B5']	['P5', 'm7', 'm10', 'P12', 'm14', 'm3', 'm6', 'P8', 'P4', 'M6', 'M3']	[0, 3, 5, 8]	[8, 11, 1, 4]
22	2.5	0.25	0.25	['C#4', 'G#4', 'B4', 'D#5', 'G#5', 'B5']	['P5', 'm7', 'M9', 'P12', 'm14', 'm3', 'P8', 'm10', 'M3', 'M6', 'P4', 'm6']	[0, 2, 4, 7]	[8, 11, 1, 3]
22	3.0	0.5	0.25	['F#3', 'E4', 'G#4', 'A4', 'C#5', 'E5', 'A#5']	['m7', 'M9', 'm10', 'P12', 'm14', 'M17', 'M3', 'P4', 'M6', 'P8', 'A11', 'm2', 'm6', 'P5', 'A8', 'm3', 'A4']	[0, 1, 2, 4, 6, 9]	[1, 4, 6, 8, 9, 10]
22	3.5	0.25	0.25	['F#3', 'E4', 'G#4', 'A4', 'E5', 'A#5']	['m7', 'M9', 'm10', 'm14', 'M17', 'M3', 'P4', 'P8', 'A11', 'm2', 'm6', 'P5', 'A8', 'A4']	[0, 1, 2, 4, 6]	[4, 6, 8, 9, 10]
23	1.0	1.0	0.25	['C#3', 'G#3', 'B3', 'D#4', 'G#4', 'C#5']	['P5', 'm7', 'M9', 'P12', 'P15', 'm3', 'P8', 'P11', 'M3', 'M6', 'P4']	[0, 2, 4, 7]	[8, 11, 1, 3]
23	1.5	0.25	0.25	['C#3', 'G#3', 'B3', 'D#4', 'G#4', 'C#5', 'D#5']	['P5', 'm7', 'M9', 'P12', 'P15', 'M16', 'm3', 'P8', 'P11', 'M3', 'M6', 'M10', 'P4', 'M2']	[0, 2, 4, 7]	[8, 11, 1, 3]
23	2.0	0.5	0.25	['C#3', 'G#3', 'B3', 'E4', 'G#4', 'B4', 'D#5']	['P5', 'm7', 'm10', 'P12', 'm14', 'M16', 'm3', 'm6', 'P8', 'P4', 'M6', 'M10', 'M3', 'M7']	[0, 1, 3, 5, 8]	[8, 11, 1, 3, 4]
23	2.5	0.25	0.25	['C#3', 'G#3', 'B3', 'D#4', 'G#4', 'B4', 'D#5']	['P5', 'm7', 'M9', 'P12', 'm14', 'M16', 'm3', 'P8', 'm10', 'M3', 'M6', 'M10', 'P4', 'm6']	[0, 2, 4, 7]	[8, 11, 1, 3]
23	3.0	0.5	0.25	['F#2', 'E3', 'G#3', 'C#4', 'E4', 'A#4', 'C#5']	['m7', 'M9', 'P12', 'm14', 'M17', 'P19', 'M3', 'M6', 'P8', 'A11', 'M13', 'P4', 'm6', 'P11', 'm3', 'A4']	[0, 2, 4, 6, 9]	[4, 6, 8, 10, 1]
