Composer,Work,Movement,Year,Opus #,Bars / range
"Ingegneri, Marc' Antonio",Plange quasi Virgo (formerly attrib. to  Palestrina),/,1535(c.)–1592(c.),,5
"de l’Estocart, Paschal ",Octonaire de la Vanité,2: Tu me seras temoin,1582,,"16 (""inconstance"")."
"de l’Estocart, Paschal ",Octonaire de la Vanité,5: La glace est luisante et belle,1582,,"11 (""de la glace on tombe""), 31."
"Victoria, Tomás Luis de",Feria Sexta in Parasceve (not Tenebrae Responsory),O vos omnes,1572?,,"14, 21, 56."
"Vulpius, Melchior",Der Tag bricht an,,1609,,3
"Gibbons, Orlando",The First Set of Madrigals and Mottets,Silver Swan,1612,,"10, 17 (of 21, in 4/4)"
"Couperin, Louis",Pièces de clavecin du manuscrit Bauyn,La Piémontoise,1660?,,31
"Roberday, François",Fugues et Caprices,Fugue 1,1660,,"16, 26, 44, 63 (in 3/2)"
"Roberday, François",Fugues et Caprices,Caprice 1,1660,,13
"Roberday, François",Fugues et Caprices,Fugue 6,1660,,14
"Roberday, François",Fugues et Caprices,Caprice 6,1660,,"5, 9, 16, 56, 68."
"Roberday, François",Fugues et Caprices,Fugue 7,1660,,8
"Roberday, François",Fugues et Caprices,Fugue 8,1660,,"35, 57 (in 4/2)"
"Chambonnières, Jacques Champion de","Pièces de Clavecin, Livre 2, Suite 4",Gigue in g minor (2nd in the collection),1670,,32
"Charpentier, Marc-Antoine",Salve Regina,Petit Motet version (a3),1670s,,"43-4, 46 (""Ad te clamamus""), 74 (""Advocata"")"
"Charpentier, Marc-Antoine",Salve Regina,Grand Motet version (a11),1670s,,"25, 62, 77-8, 80."
"Charpentier, Marc-Antoine",Misere,,1670s,H.157,"""peccatis meis"""
"Cambert, Robert",Pomone,"Prologue, Ouverture",1671,,3rd to last bar
"Charpentier, Marc-Antoine",Le malade imaginaire,"1e Intermède, Sérénade Italienne, Nott'e Dì",1673,H.495,23
"Lully, Jean-Baptiste",Alceste,"Act 3, Sc. 2",1673,LWV 50,"Choir: ""hélas"""
"Lully, Jean-Baptiste",Alceste,"Act 3, Sc. 5, ""Pompe funèbre""",1673,LWV 50,"""versons des pleurs"""
"Lully, Jean-Baptiste",Alceste,"Act 4, Sc. 3, 2e Air ('Les Démons')",1673,LWV 50,1
"Lully, Jean-Baptiste",Alceste,"Act 5, Sc. 5, Prélude",1673,LWV 50,10
"Lully, Jean-Baptiste",Thésée,"Act 3, Sc. 4",1675,LWV 51,6
"Nivers, Guillaume-Gabriel",2e Livre d'orgue,"Pange lingua, Fugue",1675,,18 (in 2/2)
"Le Bègue, Nicholas",1e Livre de Clavecin,"Allemande ""D, la, ré, sol""",1677,,2nd to last bar
"Gaultier, Denis",Livres de tablature des pièces de luth,Courante,1680,,3
"Rose[i]ngrave, Thomas",Purcell: Service in g (a),Gloria Patri to conclude Nunc,1680s?,Z.231,"28 (of the Gloria Patri, ‘And is now’)"
"Purcell, Henry",Fantasia upon one note,/,1680,Z.745,"12, 29."
"Visée, Robert de","Livre de guittarre dédié au roy, 1e Suite",4: Sarabande,1682,,6
"Purcell, Henry",Hear my Prayer,/,1683 (or before),Z.14/Z.15,"5, 10, 18, 31 (assuming 4/4 bars, not 4/2)"
"Purcell, Henry",Welcome to all the Pleasures,3: Here the Deities Approve,1683,Z.339/3,5 and reprises
"Lully, Jean-Baptiste",Amadis,"Act 2, Sc. 3",1684,LWV 50,"Arcalaüs: ""Démons, preparez-vous"""
"Gigault, Nicholas",Livres de musique pour l'orgue,"Pièces diverses du 1er ton, Prélude (No.56)",1685,,"38, 41 (in 2/2)"
"Marais, Marin","Pièces de viole, Livre I, Suite 1",1. Prélude,1686,,94
"D'Anglebert, Jean-Henri","Pièces de Clavecin, 1e Suite in G",10: Chaconne en Rondeau,1689,,19
"D'Anglebert, Jean-Henri","Pièces de Clavecin, 2e Suite in g",11: Passacaille,1689,,111
"D'Anglebert, Jean-Henri","Pièces de Clavecin, 3e Suite in d",4: Sarabande Grave,1689,,21
"Couperin, François","Pièces d'orgue, Messe pour les Paroisses","9e Couplet, Dialogue sur les grands jeux",1690,,29
"Couperin, François","Pièces d'orgue, Messe pour les Paroisses","7e Couplet, Dialogue sur la Voix humaine",1690,,"23, 53"
"Purcell, Henry",King Arthur,"Act 3, First chorus, nos 22 and 27",1691,Z.628,"Bar no. of act: 46 (Bass, ""See'st though not""); 186 (Chorus, ""See, we assemble"")"
"Lalande, Michel Richard de",Deus in Adjutorium,"Choir: ""Ego vero egenus et pauper sum""",1691,,"4th last bar (""Deus ad juva me"")"
"Pachelbel, Johann","Vom Himmel hoch, da komm' ich her",,?,P.478 ; T.63,"30, 37"
"Charpentier, Marc-Antoine",Médée,"Prologue, Menuet en Rondeau",1694,H.491,32
"Charpentier, Marc-Antoine",Médée,"Act 1, Sc. 3, Air ""Que me peut demander la Gloire""",1694,H.491,"""si j'ose"""
"Charpentier, Marc-Antoine",Médée,"Act 2, Sc. 7, Suite de la Passacaille",1694,H.491,47
"Charpentier, Marc-Antoine",Médée,"Act 4, Sc. 5",1694,H.491,"36 (2nd to lat bar, ""Dieux! Détournez"")"
"Lalande, Michel Richard de",Quemadmodum (a setting of Psalm xlii),"Trio: ""Fuerunt mihi""",1696,,"21 ""panes die"""
"Destouches, André Cardinal",Issé,"Act 3, Scène 2, Sombre déserts",1697 / 1708,,"b.59 (before, ‘Dieux’)"
"Agincour, François d'","Pièces d'orgue, Suite du 1e ton",Fugue,1700-30,,13
"Agincour, François d'","Pièces d'orgue, Suite du 4e ton",Plein jeu,1700-30,,"2, 11"
"Dieupart, Charles","Six Suites, 5e Suite",2. Allemande,1701,,12
"Destouches, André Cardinal",Omphale,"Act 5, Scène 2",1701,,"Premier Air ‘Chantez l’amour’: third time around (duet, g minor) 'sa flamme'"
"Charpentier, Marc-Antoine","Extremum Dei Judicium, Judicium Salomonis","Second partie, Arioso 'Quia non petisti'",1702,H.401,‘et intelligent’
"Charpentier, Marc-Antoine","Extremum Dei Judicium, Judicium Salomonis","Second partie, Dernier Choeur",1702,H.401,"’cuique tribuni data est’, and 'clarificabit'."
"Couperin, François",7 Versets du motet composé de l'ordre du roy,"4. Converte nos, Deus",1704,,11
"Guilain, Jean-Adam","Pièces d'Orgue, Suite du 1e ton",4. Basse de trompette,1706,,18
"Guilain, Jean-Adam","Pièces d'Orgue pour le Magnificat, Suite du 2eme ton",1. Prélude (Plein jeu),1706,,18
"Hotteterre, Jacques","Pièces pour la flûte traversiere, livre I",Suite 2 Prélude,1708,Op.2,14
"Lalande, Michel Richard de",Dixit Dominus,,1708,S.73,
"Bach, Johann Sebastian","Toccata, Adagio, and Fugue in C for organ",,1712?,BWV 564,Bars 4-6 of the central Grave ('Adagio').
"Couperin, François","Pièces de Clavecin, 1e Livre, 1e Ordre",1: Allemande 'L'Auguste’,1713,,16
